MIC,OPERATING MIC,OPRT/SGMT,MARKET NAME-INSTITUTION DESCRIPTION,LEGAL ENTITY NAME,LEI,MARKET CATEGORY CODE,ACRONYM,ISO COUNTRY CODE (ISO 3166)
VALX,VUSA,SGMT,VIRTU CLIENT MARKET MAKING,,549300RA02N3BNSWBV74,NSPD,VCMM,US
XTRD,XTRD,OPRT,XTRD,,,NSPD,XTRD,US
WELS,WELS,OPRT,"WELLS FARGO SECURITIES, LLC - EQUITIES","WELLS FARGO SECURITIES, LLC",VYVVCKR63DVZZN70PB21,NSPD,WCHV,US
HRTF,HRTF,OPRT,HUDSON RIVER TRADING (HRT),,549300SMOBUC8O5UOE10,NSPD,HRT,US
XFCI,FICO,SGMT,FINANCIALCONTENT - INDEXES,,,NSPD,,US
XFDA,FICO,SGMT,FINANCIALCONTENT - DIGITAL ASSET TRADE REPORTING FACILITY,,,NSPD,,US
FICO,FICO,OPRT,FINANCIALCONTENT,,,NSPD,,US
HRTX,HRTX,OPRT,HUDSON RIVER TRADING,,549300SMOBUC8O5UOE10,NSPD,HRT,US
MELO,XNAS,SGMT,NASDAQ MIDPOINT-ELO (M-ELO),,549300L8X1Q78ERXFD06,NSPD,MELO,US
BAMX,BAMX,OPRT,BANK OF AMERICA - MERRILL LYNCH GCX,,,NSPD,MLCX,US
GLMX,GLMX,OPRT,GLMX,,254900BL2EA4KCGB2338,NSPD,,US
CURX,CURX,OPRT,CUREX FX,,254900XVN4LQPXMJGD91,NSPD,,US
BTNL,BTNL,OPRT,BITNOMIAL,,2549002MSOOOIAHT2W65,NSPD,,US
SCXF,SCXO,SGMT,SEED FUTURES,,549300HO3R60QNJ2JJ83,NSPD,,US
SUNT,SUNT,OPRT,SUN TRADING LLC,,549300Y25EQ2KE94BO75,RMKT,,US
ADVT,ADVT,OPRT,ADVISE TECHNOLOGIES - APA TRANSPARENCY REPORTING,,549300A1NXV20ZS25T07,APPA,,US
IMCS,IMCS,OPRT,IMC FINANCIAL MARKETS,,KFGLWNFOI5LR50W0VO56,NSPD,,US
